ben_use_id,ben_use,Pollu_ID,wqstd_code
16,Fishing,4,16
22,Private Domestic Water Supply,4,16
23,Public Domestic Water Supply,4,16
4,Fish and Aquatic Life,6,15
16,Fishing,6,15
16,Fishing,9,16
22,Private Domestic Water Supply,9,16
23,Public Domestic Water Supply,9,16
4,Fish and Aquatic Life,25,15
16,Fishing,25,15
16,Fishing,27,16
22,Private Domestic Water Supply,27,16
23,Public Domestic Water Supply,27,16
4,Fish and Aquatic Life,28,15
16,Fishing,28,15
1,Aesthetic Quality,40,17
4,Fish and Aquatic Life,40,17
24,Water Contact Recreation,40,17
4,Fish and Aquatic Life,41,15
16,Fishing,41,15
4,Fish and Aquatic Life,43,15
16,Fishing,43,15
4,Fish and Aquatic Life,45,15
16,Fishing,45,15
4,Fish and Aquatic Life,46,15
16,Fishing,46,15
16,Fishing,60,16
22,Private Domestic Water Supply,60,16
23,Public Domestic Water Supply,60,16
4,Fish and Aquatic Life,66,15
16,Fishing,66,16
22,Private Domestic Water Supply,66,16
23,Public Domestic Water Supply,66,16
16,Fishing,74,16
22,Private Domestic Water Supply,74,16
23,Public Domestic Water Supply,74,16
24,Water Contact Recreation,76,
4,Fish and Aquatic Life,77,15
16,Fishing,77,15
16,Fishing,80,15
4,Fish and Aquatic Life,80,15
16,Fishing,82,16
22,Private Domestic Water Supply,82,16
23,Public Domestic Water Supply,82,16
24,Water Contact Recreation,83,
16,Fishing,84,16
22,Private Domestic Water Supply,84,16
23,Public Domestic Water Supply,84,16
16,Fishing,86,
24,Water Contact Recreation,86,
16,Fishing,89,16
22,Private Domestic Water Supply,89,16
23,Public Domestic Water Supply,89,16
16,Fishing,90,16
22,Private Domestic Water Supply,90,16
23,Public Domestic Water Supply,90,16
16,Fishing,91,16
22,Private Domestic Water Supply,91,16
23,Public Domestic Water Supply,91,16
16,Fishing,92,16
22,Private Domestic Water Supply,92,16
23,Public Domestic Water Supply,92,16
4,Fish and Aquatic Life,99,15
16,Fishing,99,15
4,Fish and Aquatic Life,101,15
16,Fishing,101,15
4,Fish and Aquatic Life,102,15
16,Fishing,102,15
16,Fishing,109,
16,Fishing,111,15
4,Fish and Aquatic Life,111,15
16,Fishing,112,16
22,Private Domestic Water Supply,112,16
23,Public Domestic Water Supply,112,16
4,Fish and Aquatic Life,121,15
16,Fishing,121,15
4,Fish and Aquatic Life,123,15
16,Fishing,123,16
22,Private Domestic Water Supply,123,16
23,Public Domestic Water Supply,123,16
4,Fish and Aquatic Life,124,
4,Fish and Aquatic Life,130,15
16,Fishing,130,15
4,Fish and Aquatic Life,132,
16,Fishing,135,16
22,Private Domestic Water Supply,135,16
23,Public Domestic Water Supply,135,16
16,Fishing,135,16
22,Private Domestic Water Supply,135,16
23,Public Domestic Water Supply,135,16
4,Fish and Aquatic Life,136,15
16,Fishing,136,15
4,Fish and Aquatic Life,138,
4,Fish and Aquatic Life,150,15
16,Fishing,150,15
16,Fishing,153,16
22,Private Domestic Water Supply,153,16
23,Public Domestic Water Supply,153,16
4,Fish and Aquatic Life,154,
4,Fish and Aquatic Life,155,
4,Fish and Aquatic Life,156,
4,Fish and Aquatic Life,169,15
16,Fishing,169,15
4,Fish and Aquatic Life,170,15
4,Fish and Aquatic Life,170,
16,Fishing,171,
4,Fish and Aquatic Life,171,
16,Fishing,172,
4,Fish and Aquatic Life,172,
2,Boating,173,
1,Aesthetic Quality,173,
16,Fishing,173,
1,Aesthetic Quality,174,
22,Private Domestic Water Supply,174,
23,Public Domestic Water Supply,174,
24,Water Contact Recreation,174,
2,Boating,175,
1,Aesthetic Quality,175,
16,Fishing,175,
3,Commercial Navigation and Transportation,,
4,Fish and Aquatic Life,,15
16,Fishing,,15
16,Fishing,,16
18,hydropower,,
19,Industrial Water Supply,,
20,Irrigation,,
21,Livestock Watering,,
22,Private Domestic Water Supply,,16
23,Public Domestic Water Supply,,16
25,Wildlife and Hunting,,
4,Fish and Aquatic Life,126,
1,Aesthetic Quality,126,
4,Fish and Aquatic Life,104,
16,Fishing,104,
4,Fish and Aquatic Life,126,
1,Aesthetic Quality,126,
22,Private Domestic Water Supply,148,
23,Public Domestic Water Supply,148,
24,Water Contact Recreation,148,
4,Fish and Aquatic Life,148,
16,Fishing,148,
1,Aesthetic Quality,148,
2,Boating,155,
3,Commercial Navigation and Transportation,155,
4,Fish and Aquatic Life,155,
16,Fishing,86,
24,Water Contact Recreation,86,
