"","Result_UID","Char_Name","code","rational"
"1",44459216,"Chlorophyll a","52","Multiple results at datetime and higher DQL exists"
"2",46562496,"Chlorophyll a","52","Multiple results at datetime and higher DQL exists"
"3",51765202,"Chlorophyll a","52","Multiple results at datetime and higher DQL exists"
"4",46623418,"Chlorophyll a","52","Multiple results at datetime and higher DQL exists"
"5",46623507,"Chlorophyll a","52","Multiple results at datetime and higher DQL exists"
"6",46645649,"Chlorophyll a","52","Multiple results at datetime and higher DQL exists"
"7",21914903,"Chlorophyll a","46","Suspected Duplicate"
"8",21971969,"Chlorophyll a","46","Suspected Duplicate"
"9",21999087,"Chlorophyll a","46","Suspected Duplicate"
"10",22079600,"Chlorophyll a","46","Suspected Duplicate"
"11",22209371,"Chlorophyll a","46","Suspected Duplicate"
"12",22300006,"Chlorophyll a","46","Suspected Duplicate"
"13",22318907,"Chlorophyll a","46","Suspected Duplicate"
"14",22331158,"Chlorophyll a","46","Suspected Duplicate"
"15",22660244,"Chlorophyll a","46","Suspected Duplicate"
